S No,Norms,State,Year,Month,Value
1,BHARAT STAGE III (CEV),Odisha(39),2026,FEB,3
2,BHARAT STAGE VI,Odisha(39),2026,FEB,"55,366"
3,BHARAT (TREM) STAGE III A,Odisha(39),2026,FEB,"1,193"
4,CEV STAGE IV,Odisha(39),2026,FEB,2
5,CEV STAGE V,Odisha(39),2026,FEB,409
6,EURO 6,Odisha(39),2026,FEB,1
7,NOT AVAILABLE,Odisha(39),2026,FEB,"6,075"
8,TREM STAGE IV,Odisha(39),2026,FEB,12
1,BHARAT STAGE III (CEV),Punjab(96),2026,JAN,1
2,BHARAT STAGE VI,Punjab(96),2026,JAN,"72,997"
3,BHARAT (TREM) STAGE III,Punjab(96),2026,JAN,1
4,BHARAT (TREM) STAGE III A,Punjab(96),2026,JAN,"4,431"
5,CEV STAGE V,Punjab(96),2026,JAN,76
6,NOT AVAILABLE,Punjab(96),2026,JAN,"3,829"
7,TREM STAGE IV,Punjab(96),2026,JAN,641
8,TREM STAGE V,Punjab(96),2026,JAN,3
1,BHARAT STAGE III (CEV),Punjab(96),2026,FEB,0
2,BHARAT STAGE VI,Punjab(96),2026,FEB,"43,075"
3,BHARAT (TREM) STAGE III,Punjab(96),2026,FEB,1
4,BHARAT (TREM) STAGE III A,Punjab(96),2026,FEB,"3,143"
5,CEV STAGE V,Punjab(96),2026,FEB,102
6,NOT AVAILABLE,Punjab(96),2026,FEB,"2,301"
7,TREM STAGE IV,Punjab(96),2026,FEB,563
8,TREM STAGE V,Punjab(96),2026,FEB,2
1,BHARAT STAGE VI,Puducherry(8),2026,JAN,"8,790"
2,BHARAT (TREM) STAGE III A,Puducherry(8),2026,JAN,3
3,CEV STAGE V,Puducherry(8),2026,JAN,1
