S No,Fuel,State,Year,Month,Value
8,PETROL,Haryana(104),2026,FEB,"15,684"
9,PETROL/CNG,Haryana(104),2026,FEB,"1,666"
10,PETROL(E20)/CNG,Haryana(104),2026,FEB,"6,537"
11,PETROL(E20)/HYBRID,Haryana(104),2026,FEB,590
12,PETROL/ETHANOL,Haryana(104),2026,FEB,"24,060"
13,PETROL/HYBRID,Haryana(104),2026,FEB,444
14,PLUG-IN HYBRID EV,Haryana(104),2026,FEB,0
15,PURE EV,Haryana(104),2026,FEB,"1,181"
16,STRONG HYBRID EV,Haryana(104),2026,FEB,713
1,CNG ONLY,Jharkhand(25),2026,JAN,512
2,DIESEL,Jharkhand(25),2026,JAN,"5,027"
3,DIESEL/HYBRID,Jharkhand(25),2026,JAN,11
4,ELECTRIC(BOV),Jharkhand(25),2026,JAN,"1,013"
5,LPG ONLY,Jharkhand(25),2026,JAN,109
6,NOT APPLICABLE,Jharkhand(25),2026,JAN,31
7,PETROL,Jharkhand(25),2026,JAN,"14,029"
8,PETROL/CNG,Jharkhand(25),2026,JAN,95
9,PETROL(E20)/CNG,Jharkhand(25),2026,JAN,725
10,PETROL(E20)/HYBRID,Jharkhand(25),2026,JAN,818
11,PETROL/ETHANOL,Jharkhand(25),2026,JAN,"33,783"
12,PETROL/HYBRID,Jharkhand(25),2026,JAN,84
13,PURE EV,Jharkhand(25),2026,JAN,"1,753"
14,STRONG HYBRID EV,Jharkhand(25),2026,JAN,63
1,CNG ONLY,Jharkhand(25),2026,FEB,328
2,DIESEL,Jharkhand(25),2026,FEB,"3,716"
3,DIESEL/HYBRID,Jharkhand(25),2026,FEB,7
4,ELECTRIC(BOV),Jharkhand(25),2026,FEB,948
5,LPG ONLY,Jharkhand(25),2026,FEB,68
6,NOT APPLICABLE,Jharkhand(25),2026,FEB,25
7,PETROL,Jharkhand(25),2026,FEB,"8,701"
8,PETROL/CNG,Jharkhand(25),2026,FEB,49
9,PETROL(E20)/CNG,Jharkhand(25),2026,FEB,521
10,PETROL(E20)/HYBRID,Jharkhand(25),2026,FEB,458
11,PETROL/ETHANOL,Jharkhand(25),2026,FEB,"22,293"
12,PETROL/HYBRID,Jharkhand(25),2026,FEB,44
13,PURE EV,Jharkhand(25),2026,FEB,"1,292"
14,STRONG HYBRID EV,Jharkhand(25),2026,FEB,31
1,CNG ONLY,Jammu and Kashmir(21),2026,JAN,1
2,DIESEL,Jammu and Kashmir(21),2026,JAN,"2,656"
3,DIESEL/HYBRID,Jammu and Kashmir(21),2026,JAN,4
4,ELECTRIC(BOV),Jammu and Kashmir(21),2026,JAN,298
5,PETROL,Jammu and Kashmir(21),2026,JAN,"1,521"
